"","VEG","COLLECT","mean_per","sd","n","SE","time","month","days"
"1","CANOPY","0",100,0,9,0,0,"Initial",0
"2","CANOPY","1",71.1212162777778,0.050192391684316,9,0.0241374381911064,0.083333,"1 month",30.416545
"3","CANOPY","2",68.6689774666667,0.0318722675536394,9,0.0153273207805073,0.66667,"8 months",243.33455
"4","CANOPY","3",55.7810000111111,0.0523376583540114,9,0.0251690933863577,1,"12 months",365
"5","CANOPY","4",54.4338366777778,0.0517260796919361,9,0.0248749862187278,1.66667,"20 months",608.33455
"6","CANOPY","5",44.2246586555556,0.0693637969612473,9,0.0333569352977402,2,"24 months",730
"7","OPEN","0",100,0,9,0,0,"Initial",0
"8","OPEN","1",70.2875278777778,0.0660283784823451,9,0.0317529380648063,0.083333,"1 month",30.416545
"9","OPEN","2",68.8640292777778,0.0394020429659787,9,0.0189483773293038,0.66667,"8 months",243.33455
"10","OPEN","3",59.1340619111111,0.0794935073553517,9,0.0382282962814788,1,"12 months",365
"11","OPEN","4",49.6474996,0.0674952168433633,8,0.0346856800536913,1.66667,"20 months",608.33455
"12","OPEN","5",41.7416642222222,0.11962121659541,9,0.0575256453224344,2,"24 months",730
"13","SHRUB","0",100,0,9,0,0,"Initial",0
"14","SHRUB","1",73.5674416333333,0.0153094080092179,9,0.00736226900461482,0.083333,"1 month",30.416545
"15","SHRUB","2",70.0944242125,0.0450020406685429,8,0.0231264741028203,0.66667,"8 months",243.33455
"16","SHRUB","3",54.0854908111111,0.0832097668899585,9,0.0400154393485566,1,"12 months",365
"17","SHRUB","4",51.9577520111111,0.0594152953688005,9,0.0285727173271738,1.66667,"20 months",608.33455
"18","SHRUB","5",47.77263385,0.109616666602735,8,0.0563318232632434,2,"24 months",730
"19","Single-Pool","0",100,NA,NA,NA,0,"Initial",0
"20","Single-Pool","1",97.9,NA,NA,NA,0.08333,"1 month",30.41545
"21","Single-Pool","2",85.1,NA,NA,NA,0.66667,"8 months",243.33455
"22","Single-Pool","3",78.5,NA,NA,NA,1,"12 months",365
"23","Single-Pool","4",66.8,NA,NA,NA,1.66667,"20 months",608.33455
"24","Single-Pool","5",61.65,NA,NA,NA,2,"24 months",730
"25","Three-Pool","0",100,NA,NA,NA,0,"Initial",0
"26","Three-Pool","1",96.3,NA,NA,NA,0.08333,"1 month",30.41545
"27","Three-Pool","2",76.1,NA,NA,NA,0.66667,"8 months",243.33455
"28","Three-Pool","3",67.9,NA,NA,NA,1,"12 months",365
"29","Three-Pool","4",56,NA,NA,NA,1.66667,"20 months",608.33455
"30","Three-Pool","5",51.7,NA,NA,NA,2,"24 months",730
