STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WINTER,graphdates
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111001,76,0,0,128,0,0,2011-2012,10/1/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111002,257,51,86,17,-6,-6,2011-2012,10/2/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111003,183,127,124,6,-6,-6,2011-2012,10/3/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111004,81,51,0,50,-6,50,2011-2012,10/4/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111005,13,0,0,78,50,61,2011-2012,10/5/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111006,0,0,0,161,61,72,2011-2012,10/6/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111007,0,0,0,194,61,61,2011-2012,10/7/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111008,0,0,0,211,61,100,2011-2012,10/8/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111009,0,0,0,233,83,83,2011-2012,10/9/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111010,0,0,0,228,83,94,2011-2012,10/10/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111011,0,0,0,206,94,117,2011-2012,10/11/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111012,86,0,0,172,94,106,2011-2012,10/12/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111013,38,0,0,128,100,122,2011-2012,10/13/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111014,84,0,0,167,100,100,2011-2012,10/14/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111015,150,0,0,106,39,44,2011-2012,10/15/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111016,0,0,0,111,44,50,2011-2012,10/16/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111017,0,0,0,172,44,50,2011-2012,10/17/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111018,0,0,0,139,44,72,2011-2012,10/18/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111019,0,0,0,200,67,111,2011-2012,10/19/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111020,66,0,0,128,17,17,2011-2012,10/20/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111021,76,0,0,28,0,6,2011-2012,10/21/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111022,3,0,0,22,6,17,2011-2012,10/22/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111023,0,0,0,106,-11,11,2011-2012,10/23/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111024,0,0,0,122,11,67,2011-2012,10/24/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111025,28,0,0,139,22,22,2011-2012,10/25/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111026,0,0,0,139,22,111,2011-2012,10/26/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111027,274,0,0,128,89,100,2011-2012,10/27/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111028,152,0,0,100,-33,-33,2011-2012,10/28/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111029,99,127,142,6,-39,-33,2011-2012,10/29/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111030,69,152,81,0,-33,-22,2011-2012,10/30/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111031,0,102,0,61,-22,11,2011-2012,10/31/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111101,0,51,0,56,-33,-22,2011-2012,11/1/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111102,0,0,0,100,-33,6,2011-2012,11/2/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111103,0,0,0,161,6,67,2011-2012,11/3/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111104,0,0,0,172,44,44,2011-2012,11/4/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111105,0,0,0,106,-44,-39,2011-2012,11/5/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111106,0,0,0,89,-39,56,2011-2012,11/6/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111107,0,0,0,167,28,56,2011-2012,11/7/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111108,0,0,0,161,17,39,2011-2012,11/8/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111109,0,0,0,194,39,67,2011-2012,11/9/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111110,3,0,0,200,67,78,2011-2012,11/10/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111111,15,25,15,78,-61,-56,2011-2012,11/11/2011
