"","ID","PERIOD","NH4"
"1","HC","AUGUST",17.1
"2","HO","AUGUST",35.1
"3","HS","AUGUST",17.3
"4","LC","AUGUST",40.5333333333333
"5","LO","AUGUST",19.9
"6","LS","AUGUST",24.2
"7","MC","AUGUST",46
"8","MO","AUGUST",24.7
"9","MS","AUGUST",17.3333333333333
"10","HC","JUNE",38.3333333333333
"11","HO","JUNE",25.1333333333333
"12","HS","JUNE",30.8
"13","LC","JUNE",68.4
"14","LO","JUNE",42.4
"15","LS","JUNE",47.3333333333333
"16","MC","JUNE",40.6666666666667
"17","MO","JUNE",25.1333333333333
"18","MS","JUNE",25.4666666666667
"19","HC","SEPTEMBER",34.5333333333333
"20","HO","SEPTEMBER",39.4
"21","HS","SEPTEMBER",20.6666666666667
"22","LC","SEPTEMBER",74
"23","LO","SEPTEMBER",29.2
"24","LS","SEPTEMBER",26.2666666666667
"25","MC","SEPTEMBER",21.2
"26","MO","SEPTEMBER",25.5
"27","MS","SEPTEMBER",26.9
