"","ID","PERIOD","Total.N"
"1","HC","AUGUST",31.3
"2","HO","AUGUST",45.6
"3","HS","AUGUST",26
"4","LC","AUGUST",48.6
"5","LO","AUGUST",21.9
"6","LS","AUGUST",29.0666666666667
"7","MC","AUGUST",52.7333333333333
"8","MO","AUGUST",29.1
"9","MS","AUGUST",26.8
"10","HC","JUNE",60.1333333333333
"11","HO","JUNE",30.3333333333333
"12","HS","JUNE",40.4666666666667
"13","LC","JUNE",83.8666666666667
"14","LO","JUNE",48.4
"15","LS","JUNE",54.1333333333333
"16","MC","JUNE",59.5333333333333
"17","MO","JUNE",32.6666666666667
"18","MS","JUNE",35.4
"19","HC","SEPTEMBER",45.5333333333333
"20","HO","SEPTEMBER",46.9
"21","HS","SEPTEMBER",26.3333333333333
"22","LC","SEPTEMBER",86.2666666666667
"23","LO","SEPTEMBER",34.3
"24","LS","SEPTEMBER",34.6
"25","MC","SEPTEMBER",24.9
"26","MO","SEPTEMBER",30.3
"27","MS","SEPTEMBER",30.9
