STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WESD,WT01,WT06,WT05,WT04,WT03
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100101,6.9,254,28,1.7,-3.9,-3.9,58.4,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100102,7.4,406,206,-3.9,-15,-15,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100103,4.1,432,53,-15,-20,-20,68.6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100104,5.3,457,58,-15.6,-20.6,-15.6,73.7,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100105,5.1,483,140,-12.2,-15.6,-12.8,68.6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100106,6.9,610,239,-10.6,-13.3,-12.2,76.2,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100107,6.4,660,130,-10,-12.2,-11.7,81.3,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100108,5.1,762,157,-5,-16.7,-16.7,83.8,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100109,5.1,787,160,-14.4,-17.8,-14.4,88.9,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100110,3.3,787,91,-10,-16.1,-16.1,88.9,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100111,0,711,0,-8.9,-16.1,-13.9,86.4,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100112,2,635,41,-6.7,-13.9,-11.7,83.8,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100113,3.8,660,97,-10,-11.7,-11.1,86.4,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100114,0,584,0,-6.1,-11.1,-7.8,83.8,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100115,0,508,0,1.1,-8.3,-1.1,81.3,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100116,2,406,0,1.7,-1.7,1.1,76.2,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100117,0.5,330,0,6.7,1.1,2.8,76.2,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100118,19.6,305,0,2.8,-1.1,-0.6,73.7,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100119,0,254,0,1.1,-1.1,-0.6,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100120,2.8,229,5,1.7,-3.3,-3.3,63.5,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100121,0,229,0,-0.6,-5.6,-5.6,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100122,16.3,229,5,-0.6,-5.6,-1.7,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100123,1,229,0,1.7,-1.7,-1.1,78.7,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100124,0,229,0,3.9,-1.7,3.9,78.7,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100125,25.1,127,0,8.9,3.9,5.6,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100126,14.7,152,53,5.6,-6.7,-6.1,58.4,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100127,4.3,178,61,-5.6,-10,-9.4,35.6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100128,2.5,178,25,-3.3,-9.4,-3.3,38.1,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100129,3.6,203,33,-3.3,-18.3,-17.8,38.1,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100130,1,203,15,-11.7,-17.8,-15,38.1,-9999,-9999,-9999,-9999,-9999
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.09833,-79.43194,20100131,5.6,305,147,-10.6,-18.9,-18.9,43.2,-9999,-9999,-9999,-9999,-9999
