ID,TAG_ID,ELEV,VEG,PLOT,PROCESS_DATE,MASS,N,C,Comments
HC1-1,HC 101,HIGH,CANOPY,HC1,08/06/2015,12.832,3.142826796,50.22196579,
HC1-2,HC 102,HIGH,CANOPY,HC1,08/06/2015,10.725,2.977107763,49.36004257,
HC1-3,HC 103,HIGH,CANOPY,HC1,08/06/2015,11.125,4.883544445,52.9344101,
HC1-5,HC 105,HIGH,CANOPY,HC1,08/05/2015,9.053,3.497469187,48.99414825,
HC2-3,HC 203,HIGH,CANOPY,HC2,08/06/2015,14.715,4.013595581,52.18109131,
HC3-1,HC 301,HIGH,CANOPY,HC3,08/06/2015,9.84,2.478994131,49.4128952,
HC3-2,HC 302,HIGH,CANOPY,HC3,08/06/2015,11.39,2.583340406,47.86467743,
HC3-3,HC 303,HIGH,CANOPY,HC3,08/06/2015,9.656,3.209186316,48.58909988,
HC3-4,HC 304,HIGH,CANOPY,HC3,08/06/2015,12.66,2.861663342,49.44807434,
HC3-5,HC 305,HIGH,CANOPY,HC3,12/14/2015,4.388,2.774485826,50.09408951,
HC2-2,HC2 2,HIGH,CANOPY,HC2,12/09/2015,13.21,1.881896734,49.24772644,
HC2-4,HC2 4,HIGH,CANOPY,HC2,12/09/2015,9.248,3.047401667,52.70251083,
HC2-5,HC2 5,HIGH,CANOPY,HC2,12/10/2015,5.271,2.248321056,50.83537292,
HC1-4,HCL 4,HIGH,CANOPY,HC1,12/09/2015,10.547,2.237547398,48.95372772,
HO1-1,HO 101,HIGH,OPEN,HO1,08/05/2015,11.367,2.551854372,49.19530106,
HO1-2,HO 102,HIGH,OPEN,HO1,08/05/2015,9.878,2.631214857,48.20742798,
HO1-3,HO 103,HIGH,OPEN,HO1,12/14/2015,6.318,3.394675732,55.00009537,
HO1-5,HO 105,HIGH,OPEN,HO1,12/14/2015,4.695,4.576249123,51.56585693,
HO2-2,HO 202,HIGH,OPEN,HO2,08/06/2015,10.812,3.846805096,53.00793457,
HO2-3,HO 203,HIGH,OPEN,HO2,08/05/2015,9.877,2.594611168,48.11380768,
HO2-4,HO 204,HIGH,OPEN,HO2,08/06/2015,10.849,2.503604889,49.04228973,
HO2-5,HO 205,HIGH,OPEN,HO2,08/05/2015,9.612,2.796095371,48.63221359,
HO3-1,HO 301,HIGH,OPEN,HO3,08/06/2015,14.147,4.005985737,51.69326401,
HO3-2,HO 302,HIGH,OPEN,HO3,08/05/2015,10.662,3.021098852,49.10756302,
HO3-2,HO3 2,HIGH,OPEN,HO3,12/10/2015,8.093,2.184169292,49.06111526,
HO1-4,HOI 4,HIGH,OPEN,HO1,12/09/2015,11.61,2.505021095,47.08003616,
HS1-2,HS 102,HIGH,SHRUB,HS1,08/06/2015,11.188,2.587064981,49.57904053,
HS1-3,HS 103,HIGH,SHRUB,HS1,08/05/2015,13.628,2.691064119,48.87595367,
HS1-5,HS 105,HIGH,SHRUB,HS1,08/06/2015,11.222,4.319146156,54.31840515,
HS2-1,HS 201,HIGH,SHRUB,HS2,08/05/2015,11.494,2.577000856,49.00218964,
HS2-2,HS 202,HIGH,SHRUB,HS2,08/06/2015,13.589,2.547876596,48.4774704,
HS2-3,HS 203,HIGH,SHRUB,HS2,08/06/2015,15.711,3.977841139,49.84036255,
HS3-1,HS 301,HIGH,SHRUB,HS3,08/06/2015,11.502,3.882904768,53.92457581,
HS3-2,HS 302,HIGH,SHRUB,HS3,08/05/2015,14.009,2.774863958,49.11845016,
HS3-3,HS 303,HIGH,SHRUB,HS3,08/06/2015,15.46,4.028799057,48.11053467,
HS3-5,HS 305,HIGH,SHRUB,HS3,08/06/2015,9.596,2.77083087,49.20491791,
HS2-4,HS2 4,HIGH,SHRUB,HS2,12/09/2015,9.488,1.743412256,50.41054535,
HS3-4,HS3 4,HIGH,SHRUB,HS3,12/09/2015,9.438,2.072134972,54.84143066,
HS1-4,HSI 4,HIGH,SHRUB,HS1,12/09/2015,11.62,1.765247226,46.54669189,
LC1-1,LC 101,LOW,CANOPY,LC1,08/06/2015,11.686,2.736308098,48.20730972,
LC1-2,LC 102,LOW,CANOPY,LC1,08/06/2015,16.393,4.751106262,51.5104866,
LC1-3,LC 103,LOW,CANOPY,LC1,08/05/2015,9.2,3.711175919,48.19573975,
