PLOT,ELEV,VEG,Odepth,ON,OC
LO1,LOW,OPEN,3.3,1.069079041,18.40686989
LO2,LOW,OPEN,3.8,1.501575828,31.19277
LO3,LOW,OPEN,,,
LS1,LOW,SHRUB,6.8,2.336030006,47.83095169
LS2,LOW,SHRUB,5.4,2.162484884,42.77021408
LS3,LOW,SHRUB,,,
LC1,LOW,CANOPY,4.7,1.147132277,18.66243553
LC2,LOW,CANOPY,4.4,2.130515814,46.78801727
LC3,LOW,CANOPY,,,
MO1,MID,OPEN,3,1.393238544,27.55695534
MO2,MID,OPEN,7.2,1.755089879,30.41791344
MO3,MID,OPEN,7.5,0.97690773,17.82349968
MS1,MID,SHRUB,7.5,1.150539517,29.43354416
MS2,MID,SHRUB,4.2,1.671292663,35.87002182
MS3,MID,SHRUB,15.5,1.91660583,48.40494156
MC1,MID,CANOPY,2.3,1.781884313,32.28388977
MC2,MID,CANOPY,4,2.11989665,32.89703369
MC3,MID,CANOPY,2.5,1.442795873,27.81641006
HO1,HIGH,OPEN,2.8,1.209952354,19.25080109
HO2,HIGH,OPEN,6,1.980408669,46.33976364
HO3,HIGH,OPEN,11,0.827608049,12.40147209
HS1,HIGH,SHRUB,9.5,1.597497106,33.62171555
HS2,HIGH,SHRUB,4.7,2.046895742,49.70533371
HS3,HIGH,SHRUB,10,1.512942433,29.05949402
HC1,HIGH,CANOPY,11.5,0.750395775,10.22997952
HC2,HIGH,CANOPY,4,1.744752526,31.14109993
HC3,HIGH,CANOPY,12.5,0.705499351,11.21018982
