TAG_ID,ID,ELEV,VEG,PLOT,MASS,N,C
LC 103,LC1-3,LOW,CANOPY,LC1,9.2,3.711175919,48.19573975
MS 103,MS1-3,MID,SHRUB,MS1,11.012,3.749978542,53.12506104
LC 104,LC1-4,LOW,CANOPY,LC1,10.353,3.827708721,49.58026123
HO 202,HO2-2,HIGH,OPEN,HO2,10.812,3.846805096,53.00793457
HS 301,HS3-1,HIGH,SHRUB,HS3,11.502,3.882904768,53.92457581
HS 203,HS2-3,HIGH,SHRUB,HS2,15.711,3.977841139,49.84036255
HO 301,HO3-1,HIGH,OPEN,HO3,14.147,4.005985737,51.69326401
HC 203,HC2-3,HIGH,CANOPY,HC2,14.715,4.013595581,52.18109131
HS 303,HS3-3,HIGH,SHRUB,HS3,15.46,4.028799057,48.11053467
MO 204,MO2-4,MID,OPEN,MO2,12.109,4.15849638,52.46398544
HS 105,HS1-5,HIGH,SHRUB,HS1,11.222,4.319146156,54.31840515
MC 103,MC1-3,MID,CANOPY,MC1,11.552,4.447853088,53.09096909
MC 302,MC3-2,MID,CANOPY,MC3,11.719,4.619702816,50.66913223
LO 305,LO3-5,LOW,OPEN,LO3,10.152,4.750966549,50.37366104
LC 102,LC1-2,LOW,CANOPY,LC1,16.393,4.751106262,51.5104866
HC 103,HC1-3,HIGH,CANOPY,HC1,11.125,4.883544445,52.9344101
LS 301,LS3-1,LOW,SHRUB,LS3,12.79,4.890757084,50.21417236
MO 105,MO1-5,MID,OPEN,MO1,10.142,5.121739864,55.10149002
LC 105,LC1-5,LOW,CANOPY,LC1,10.197,5.642604351,55.13035583
LC 303,LC3-3,LOW,CANOPY,LC3,11.547,5.838751793,51.34137344
HO 105,HO1-5,HIGH,OPEN,HO1,9.335,6.223769188,53.08839417
