TAG_ID,ID,ELEV,VEG,PLOT,MASS,N,C
HC 105,HC1-5,HIGH,CANOPY,HC1,10.481,2.384641886,48.94749069
MS 303,MS3-3,MID,SHRUB,MS3,9.751,2.476478338,48.40806961
HC 301,HC3-1,HIGH,CANOPY,HC3,9.84,2.478994131,49.4128952
HO 204,HO2-4,HIGH,OPEN,HO2,10.849,2.503604889,49.04228973
LO 201,LO2-1,LOW,OPEN,LO2,10.221,2.523368835,48.01744843
HS 202,HS2-2,HIGH,SHRUB,HS2,13.589,2.547876596,48.4774704
HO 101,HO1-1,HIGH,OPEN,HO1,11.367,2.551854372,49.19530106
HS 201,HS2-1,HIGH,SHRUB,HS2,11.494,2.577000856,49.00218964
HC 302,HC3-2,HIGH,CANOPY,HC3,11.39,2.583340406,47.86467743
MC 305,MC3-5,MID,CANOPY,MC3,11.55,2.583697319,49.07881165
HS 102,HS1-2,HIGH,SHRUB,HS1,11.188,2.587064981,49.57904053
HO 203,HO2-3,HIGH,OPEN,HO2,9.877,2.594611168,48.11380768
HO 102,HO1-2,HIGH,OPEN,HO1,9.878,2.631214857,48.20742798
HD 101,HD1-1,HIGH,OPEN,HD1,16.011,2.682115555,48.92974091
HS 103,HS1-3,HIGH,SHRUB,HS1,13.628,2.691064119,48.87595367
LC 101,LC1-1,LOW,CANOPY,LC1,11.686,2.736308098,48.20730972
HS 305,HS3-5,HIGH,SHRUB,HS3,9.596,2.77083087,49.20491791
HS 302,HS3-2,HIGH,SHRUB,HS3,14.009,2.774863958,49.11845016
HO 205,HO2-5,HIGH,OPEN,HO2,9.612,2.796095371,48.63221359
LO 101,LO1-1,LOW,OPEN,LO1,10.829,2.808762312,47.11424255
LC2-5,LC--5,LOW,CANOPY,LC-,10.63,2.816347837,48.98862457
MC 304,MC3-4,MID,CANOPY,MC3,11.988,2.823348522,49.66478729
LS 205,LS2-5,LOW,SHRUB,LS2,9.212,2.84562993,49.90249252
MC 102,MC1-2,MID,CANOPY,MC1,9.727,2.848274708,50.22155762
HC 304,HC3-4,HIGH,CANOPY,HC3,12.66,2.861663342,49.44807434
LS 203,LS2-3,LOW,SHRUB,LS2,10.494,2.880811214,48.24603653
LC 201,LC2-1,LOW,CANOPY,LC2,10.249,2.917724848,48.10855484
MS 102,MS1-2,MID,SHRUB,MS1,11.353,2.919146299,49.89938354
MS 305,MS3-5,MID,SHRUB,MS3,10.12,2.92660737,48.32668304
LO 303,LO3-3,LOW,OPEN,LO3,11.804,2.943227053,45.17153931
HO 302,HO3-2,HIGH,OPEN,HO3,10.3,2.976454496,48.4961586
HC 102,HC1-2,HIGH,CANOPY,HC1,10.725,2.977107763,49.36004257
MC 301,MC3-1,MID,CANOPY,MC3,14.014,2.9795928,48.89081192
LC 305,LC3-5,LOW,CANOPY,LC3,9.949,3.004818678,48.88676453
HO 302,HO3-2,HIGH,OPEN,HO3,10.662,3.021098852,49.10756302
MC 303,MC3-3,MID,CANOPY,MC3,9.172,3.03943038,47.93245316
MC 205,MC2-5,MID,CANOPY,MC2,9.71,3.041420698,49.23820496
MS 101,MS1-1,MID,SHRUB,MS1,12.736,3.048847914,50.45503998
MO 202,MO2-2,MID,OPEN,MO2,9.987,3.051439762,48.71303558
MS 302,MS3-2,MID,SHRUB,MS3,11.514,3.071020126,49.15105438
MO 103,MO1-3,MID,OPEN,MO1,8.96,3.141641378,48.51173401
HC 101,HC1-1,HIGH,CANOPY,HC1,12.832,3.142826796,50.22196579
LS 202,LS2-2,LOW,SHRUB,LS2,9.958,3.150645494,48.38277054
LO 102,LO1-2,LOW,OPEN,LO1,10.081,3.171450138,47.89507294
LO 104,LO1-4,LOW,OPEN,LO1,9.555,3.203564644,49.91500854
HC 303,HC3-3,HIGH,CANOPY,HC3,9.656,3.209186316,48.58909988
LC 202,LC2-2,LOW,CANOPY,LC2,13.128,3.212623835,48.04122925
LC 302,LC3-2,LOW,CANOPY,LC3,14.698,3.217069626,48.7273941
MO 303,MO3-3,MID,OPEN,MO3,12.076,3.247871161,48.6397171
MC 204,MC2-4,MID,CANOPY,MC2,9.821,3.274914265,50.43953705
LS 305,LS3-5,LOW,SHRUB,LS3,9.854,3.306593657,49.53829575
MS 203,MS2-3,MID,SHRUB,MS2,10.528,3.334022284,48.04440308
HC 105,HC1-5,HIGH,CANOPY,HC1,9.053,3.497469187,48.99414825
MO 303,MO3-3,MID,OPEN,MO3,11.581,3.517115116,48.92565536
LS 302,LS3-2,LOW,SHRUB,LS3,13.71,3.55201292,48.55715561
LO 205,LO2-5,LOW,OPEN,LO2,9.757,3.585848331,47.2740593
MS 201,MS2-1,MID,SHRUB,MS2,10.967,3.588172674,64.56542206
LS 303,LS3-3,LOW,SHRUB,LS3,10.981,3.627071619,48.82358932
LO 302,LO3-2,LOW,OPEN,LO3,12.472,3.649443388,47.18924713
MC 201,MC2-1,MID,CANOPY,MC2,9.429,3.656060457,48.82308578
MO 305,MO3-5,MID,OPEN,MO3,10.266,3.699501038,53.43686295
MS 205,MS2-5,MID,SHRUB,MS2,10.214,3.704094172,48.72952271
